"year","West.Germany","USA","UK","Austria","Belgium","Denmark","France","Italy","Netherlands","Norway","Switzerland","Japan","Greece","Portugal","Spain","Australia","New.Zealand"
1960,166.992524763925,91.0566235441042,249.876749463258,-515.279338955161,-150.268348861661,160.619747509052,259.423664584823,-163.022465783842,218.621844742103,484.071999566322,508.325350732828,-1222.74407504024,-614.046460182212,-127.079147401429,28.4266755688482,1.46886754549541,909.862675568478
1961,169.344894112124,-38.4605969617082,209.765214592863,-515.092449835833,-162.16385119879,234.592049442851,230.440872988048,-122.648194794008,117.990613706377,482.468093090066,696.309351952501,-1167.31289598686,-385.321856016396,-320.199550271811,87.1725563742023,-125.018572569973,843.669147694351
1962,185.471531418157,-20.7053803328658,125.171772923471,-567.751203857028,-176.855439127397,286.331619725257,231.379376946812,-99.4584454250373,158.514494352644,460.983193315832,685.323614718378,-1207.99140383907,-471.867766103366,-318.291365597627,146.30417124993,-31.7601572143585,799.006254968367
1963,157.481756881013,1.30930457954082,114.755183310934,-561.63834389642,-196.354080209735,207.875573356768,271.839061058792,-91.6383299658323,141.850304190886,440.064310526487,719.329635062873,-1222.85567713298,-381.941612348741,-397.439786942948,205.012052231789,18.742217484114,834.761299487892
1964,178.670431697253,-35.4785475244062,112.787139160325,-601.212219434038,-183.042891806793,321.8396382317,229.236794379687,-183.605855531784,181.636716904035,402.323458752604,738.336808172488,-1205.90382096112,-403.996598997569,-436.986730225173,208.616738032135,22.6277725637997,809.720818669815
1965,222.081072026237,20.775214290727,70.611554757681,-690.133663148444,-214.160143178348,349.145754378068,239.669153629878,-216.406213851107,218.638003473167,450.975551835423,693.363914592343,-1307.86529601778,-367.039660455728,-488.891807093238,223.844480492166,-83.5771209054128,862.316153008366
1966,159.125844485694,130.249874058687,-1.07306451929935,-662.972601049547,-235.545122396035,350.234887813705,249.630543307655,-227.305141670953,183.864209213942,393.025201218621,601.391827957169,-1321.30798166468,-353.377301535893,-552.926964447155,278.630074961423,-67.7203990226581,938.296859037558
1967,56.8133661752277,115.667747096351,-23.3582125427947,-589.203633189475,-240.194758889575,400.479024069549,237.025362800942,-174.405622575465,241.38977540999,386.622569229388,636.391641455394,-1233.31952360038,-385.890817436445,-547.657618019752,253.083253821031,52.8135174563477,662.928610411323
1968,86.4863279185379,134.087576711884,-35.9752770074651,-657.614730218221,-275.550988816891,438.903596385857,182.535323049666,-186.14067084477,309.309226242555,226.86188215718,644.401217158766,-1162.34262312524,-403.005827375436,-576.671910728798,252.98135548132,220.833228836718,526.46722690556
1969,133.335495370475,-5.89394204409473,-134.872811126507,-758.411113105891,-344.622709220602,574.908142364009,168.119129330024,-217.197824875815,511.964993603648,122.02184285987,840.38370315192,-1043.74979444883,-315.905537246407,-775.396426318183,380.528663340639,213.809418106052,651.923244538816
