"Country","Pre_RMSPE","Post_RMSPE","Ratio"
"West Germany",119.64,1945.84,16.26
"Norway",920.47,6203.56,6.74
"Greece",626.42,3900.21,6.23
"USA",826.28,4266.76,5.16
"Italy",176.48,807.32,4.57
"New Zealand",631.1,2625.39,4.16
"Spain",520.77,1557.26,2.99
"Netherlands",332.31,858.57,2.58
"Australia",215.68,551.69,2.56
"Belgium",506.65,1273.09,2.51
"Switzerland",1173.54,2771.82,2.36
"Austria",589.81,1265.95,2.15
"UK",882.63,1823.79,2.07
"Japan",1312.46,2648.96,2.02
"France",747.71,1120.19,1.5
"Denmark",342.08,468.86,1.37
"Portugal",1428.05,1590.09,1.11
